ISINCode,AssetClass,SubAssetClass,IndexName,IndexAgg,IndexCode,IndexFamily,IndexProvider,ReturnType,RebalanceFrequency,ActivelyManaged,Backing,Synthetic,CurrencyHedge,HedgeFrom,HedgeTo,Development,Region,Country,EquitySize,EquityIsSector,EquitySectorCycles,EquitySector,EquitySubSector,EquityIsThematic,IsESG,EquityESGType,EquityIsFactor,EquityIsIncome,EquityIsValue,EquityIsQuality,EquityIsMomentum,EquityIsSize,EquityIsGrowth,EquityIsLowVol,EquityBetaCorrelation,FactorIsMultiFactor,EquityFactorDes,EquityIsStrategy,EquityBuybackYield,EquityIsCapped,EquityIsEqualWeight,EquityIsRiskWeight,EquityIsAlternativeWeight,EquityStrategyRevenueAbroad,EquityStrategyDes,FixedIncomeCategory,FixedIncomeType,FixedIncomeMaturityGroup,FixedIncomeMaturityName,FixedIncomeRatingGroup,FixedIncomeRating,FixedIncomeDominateCurrencyGroup,FixedIncomeDominateCurrency,FixedIncomeSector,FixedIncomeIsFloating,FixedIncomeFloatingFixed,FixedIncomeIsFactor,FixedIncomeIsLiquidity,FixedIncomeIsYield,FixedIncomeIsMomentum,FixedIncomeIsCarry,FixedIncomeIsQuality,FixedIncomeIsValue,FixedIncomeFactorDes,FixedIncomeIsStrategy,FixedIncomeInflationBreakeven,FixedIncomeDurationNeutral,FixedIncomeAlternativeWeight,FixedIncomeIsCapped,FixedIncomeStrategyDes,CurrencyType,CurrencyBucket1,CurrencyBucket2,CommoditySector,CommodityUnderlying,CommoditySpotForward,CommodityRollOptimised,CommodityPhysicalHeld,CommodityIsCapped,CommodityAlternativeWeight,CommodityStrategyDes,StructuredType,StructuredTracking,StructuredMultiple,StructuredLeverage,StructuredSector,ClassLevel1,ClassLevel2,ClassLevel3,ClassType
DE000A0N62E5,Commodity,Commodity,LBMA Palladium Price PM USD,LBMA Palladium,LB01388,Commodity Futures,LBMA,-,Daily,FALSE,-,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Palladium,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Palladium: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
JE00B1VS3002,Commodity,Commodity,LBMA Palladium Price PM USD,LBMA Palladium,LB01388,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Palladium,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Palladium: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106407205,Commodity,Commodity,LBMA Palladium Price PM USD,LBMA Palladium,LB01388,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Palladium,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Palladium: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106407262,Commodity,Commodity,LBMA Palladium Price PM USD,LBMA Palladium,LB01388,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,USD,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Palladium,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Palladium: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
IE00B4LJS984,Commodity,Commodity,LBMA Palladium Price PM USD,LBMA Palladium,LB01388,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Palladium,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Palladium: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0118929022,Commodity,Commodity,LBMA Palladium Price PM USD,LBMA Palladium,LB01388,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,FALSE,-,-,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Palladium,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Palladium: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106406280,Commodity,Commodity,LBMA Platinum,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,CHF,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
LU0378449770,Equity,Equity,Nasdaq 100 TR,Nasdaq 100,NS01341,Nasdaq U.S.,Nasdaq,Net Total Return,Quarterly,FALSE,Synthetic,Funded,FALSE,-,-,Developed,North America,US,Large Cap,FALSE,,,,FALSE,FALSE,-,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,-,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Large Cap,US Market Cap,US,Market Cap
CH0106406231,Commodity,Commodity,LBMA Platinum,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,EUR,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
CH0106407049,Commodity,Commodity,LBMA Platinum,LBMA Platinum,LB01389,Commodity Futures,LBMA,Price Return,Daily,FALSE,Physical,-,TRUE,USD,GBP,Broad,Global,Global Broad,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Precious Metals,Platinum,Prompt,FALSE,TRUE,FALSE,,Physical Held,,,,,,Platinum: Physical Backed,Precious Metals Prompt,Precious Metals,Precious Metals
